figma_path,outcome,detail,url
ewallets/indo/astrapay,downloaded,"brand-site | wordmark | 1:1.01 (square, 197x198) | vector (verify no baked-in background)",https://astrapay.com/static-assets/images/navigation/astrapay-blue-right.svg
ewallets/indo/i-saku,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/40/72/42/407242fe-1e3e-6678-fd80-abd00703ae30/AppIcon-0-0-1x_U007emarketing-0-6-0-85-220.png/1024x1024bb.png
ewallets/indo/doku,downloaded,"brand-site | wordmark | 1.00:1 (square, 500x500) | vector (verify no baked-in background)",https://cdn.prod.website-files.com/674ab654de930b217c6389c1/6756a9f7ba44cad5543f87e2_doku-logo-red.svg
ewallets/indo/flip,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/87/63/b5/8763b5c1-e0b1-0823-ddb0-ce8b5d214587/AppIconTemanHemat-0-0-1x_U007epad-0-1-85-220.png/1024x1024bb.png
ewallets/indo/jenius-pay,downloaded,"brand-site | wordmark | 3.88:1 (horizontal, 163x42) | vector (verify no baked-in background)",https://www.jenius.com/assets/img/brand/logo_jenius-blue.svg
ewallets/indo/sakuku,skipped,flagged excluded — no asset to source,
minimarkets/indo/alfamart,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/92/da/4e/92da4e34-1e16-7573-8391-373b049442f8/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/1024x1024bb.png
minimarkets/indo/indomaret,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/d6/35/f3/d635f35e-4eae-83b5-87bd-b00e231100a3/AppIcon-0-0-1x_U007ephone-0-11-0-85-220.png/1024x1024bb.png
minimarkets/indo/alfamidi,unusable,"4 candidate(s), none met the 128px floor",
minimarkets/indo/circle-k-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/2a/66/7e/2a667e57-f0bb-7c0e-f1ad-543431d9e0c0/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/1024x1024bb.png
minimarkets/indo/lawson-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/a8/14/af/a814afa1-296c-8b0c-3ae5-0ffb5166f3f4/AppIcon-0-0-1x_U007emarketing-0-6-0-85-220.png/1024x1024bb.png
minimarkets/indo/familymart-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/37/5c/9d/375c9d31-bad5-d325-e7ef-c1989a348540/AppIcon-0-0-1x_U007emarketing-0-8-0-0-85-220.png/1024x1024bb.png
minimarkets/indo/alfaexpress,unresolved,no candidates found,
minimarkets/indo/seven-eleven-indonesia,skipped,flagged excluded — no asset to source,
ecommerce/indo/shopee,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/e4/c5/18/e4c518a8-dfb7-0e15-a36d-89f00cb1b06f/AppIcon-0-1x_U007emarketing-0-6-0-0-85-220-0.png/1024x1024bb.png
ecommerce/indo/tokopedia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/34/5f/93/345f9387-54f3-bd59-2f88-23ddcb804f33/AppIcon-0-0-1x_U007epad-0-1-0-85-220.png/1024x1024bb.png
ecommerce/indo/lazada-indonesia,downloaded,"brand-press | wordmark | 3.19:1 (horizontal, 344x108) | transparent",https://img.lazcdn.com/g/tps/images/ims-web/TB1Hs8GaMFY.1VjSZFnXXcFHXXa.png
ecommerce/indo/bukalapak,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/fa/28/8a/fa288a52-e5a6-06a7-c5d6-41852d2f2b07/AppIcon-0-0-1x_U007emarketing-0-7-0-0-85-220.png/1024x1024bb.png
ecommerce/indo/blibli,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/7a/61/73/7a61735b-fa6a-dca1-915b-f5f8fc95a1fb/AppIcon-0-0-1x_U007epad-0-1-0-sRGB-85-220.png/1024x1024bb.png
ecommerce/indo/zalora-indonesia,downloaded,"brand-press | icon | 1.00:1 (square, 40x40) | vector (verify no baked-in background)",https://static-id.zacdn.com/next-assets/static-assets/images/fav/favicon.svg
ecommerce/indo/tiktok-shop-indonesia,downloaded,"brand-site | icon | 1.00:1 (square, 200x200) | vector (verify no baked-in background)",https://www.tiktok.com/favicon.svg
ecommerce/indo/akulaku,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/1b/3a/49/1b3a4901-19f6-de1a-e8da-b399521cc315/AppIcon-1x_U007epad-0-1-0-sRGB-85-220-0.png/1024x1024bb.png
